Unnamed: 0,REPORTING_DATE,into_default_flag,PD
141,3/31/2015,0,5.03e-05
142,9/30/2014,0,6.0599999999999996e-05
143,12/31/2018,0,5.36e-05
144,2/28/2009,0,6.2e-05
145,2/28/2013,0,6.1e-05
146,11/30/2017,0,5.15e-05
147,9/30/2011,0,0.000289176
148,10/31/2016,0,6.08e-05
149,10/31/2018,0,6.0299999999999995e-05
150,7/31/2016,0,5.25e-05
151,12/31/2009,0,5.3299999999999995e-05
152,12/31/2011,0,4.96e-05
153,8/31/2018,0,5.24e-05
154,4/30/2015,0,6.08e-05
155,10/31/2017,0,6.24e-05
156,2/29/2008,0,6.32e-05
157,5/31/2017,0,5.15e-05
158,3/31/2009,0,6.13e-05
159,3/31/2017,0,5.2000000000000004e-05
160,4/30/2013,0,5.3299999999999995e-05
161,6/30/2017,0,5.21e-05
162,3/31/2014,0,9.81e-05
163,2/28/2009,0,8.68e-05
164,1/31/2012,0,8.68e-05
165,2/28/2013,0,5.31e-05
166,1/31/2013,0,6.02e-05
167,11/30/2015,0,5.3e-05
168,7/31/2019,0,6.05e-05
169,2/29/2016,0,5.24e-05
170,11/30/2013,0,5.18e-05
171,1/31/2013,0,5.2900000000000005e-05
172,5/31/2019,0,6.0599999999999996e-05
173,9/30/2017,0,6.2e-05
174,5/31/2007,0,5.3299999999999995e-05
175,12/31/2006,0,5.31e-05
176,9/30/2008,0,5.2300000000000004e-05
177,2/28/2014,0,6.05e-05
178,3/31/2012,0,9.81e-05
179,5/31/2010,0,6.1e-05
180,7/31/2016,0,5.3500000000000006e-05
181,9/30/2015,0,5.3e-05
182,8/31/2013,0,5.3200000000000006e-05
183,1/31/2009,0,8.78e-05
184,8/31/2007,0,5.2600000000000005e-05
185,2/28/2013,0,5.539999999999999e-05
186,2/28/2014,0,5.3400000000000004e-05
187,12/31/2016,0,5.2900000000000005e-05
188,1/31/2019,0,5.28e-05
189,1/31/2013,0,6.13e-05
190,2/28/2017,0,5.98e-05
191,7/31/2018,0,5.18e-05
192,11/30/2009,0,8.22e-05
193,10/31/2014,0,5.25e-05
194,6/30/2014,0,5.04e-05
195,8/31/2013,0,8.75e-05
196,2/28/2017,0,9.96e-05
197,6/30/2012,0,5.8299999999999994e-05
198,1/31/2019,0,5.8599999999999995e-05
199,12/31/2017,0,5.9699999999999994e-05
200,7/31/2017,0,8.420000000000001e-05
201,6/30/2015,0,5.9499999999999996e-05
202,9/30/2015,0,5.3200000000000006e-05
203,9/30/2014,0,8.73e-05
204,5/31/2014,0,5.3200000000000006e-05
205,9/30/2018,0,5.31e-05
206,4/30/2019,0,5.9999999999999995e-05
207,7/31/2015,0,6.0599999999999996e-05
208,12/31/2012,0,4.95e-05
209,3/31/2018,0,6.13e-05
210,11/30/2017,0,5.22e-05
211,5/31/2012,0,4.91e-05
212,1/31/2009,0,5.47e-05
213,6/30/2016,0,5.19e-05
214,5/31/2015,0,0.000100503
215,8/31/2011,0,5.27e-05
216,10/31/2013,0,5.22e-05
217,6/30/2014,0,5.24e-05
218,6/30/2017,0,5.3200000000000006e-05
219,2/29/2016,0,6.13e-05
220,12/31/2009,0,5.9699999999999994e-05
221,9/30/2013,0,6.3e-05
222,4/30/2018,0,6.15e-05
223,9/30/2017,0,5.3200000000000006e-05
224,2/28/2014,0,8.499999999999999e-05
225,3/31/2012,0,6.04e-05
226,6/30/2019,0,6.1e-05
227,12/31/2016,0,5.3299999999999995e-05
228,8/31/2009,0,5.429999999999999e-05
229,9/30/2015,0,8.669999999999999e-05
230,4/30/2019,0,5.08e-05
231,6/30/2011,0,6.0899999999999996e-05
232,2/28/2014,0,0.000173515
233,8/31/2011,0,6.05e-05
234,6/30/2009,0,8.32e-05
235,6/30/2018,0,5.28e-05
236,8/31/2019,0,8.55e-05
237,12/31/2018,0,5.3299999999999995e-05
238,5/31/2014,0,9.25e-05
239,9/30/2013,0,6.2e-05
240,8/31/2018,0,6.29e-05
241,10/31/2012,0,6.13e-05
242,8/31/2012,0,6.2e-05
243,4/30/2010,0,5.07e-05
244,6/30/2016,0,8.740000000000001e-05
245,4/30/2014,0,9.4e-05
246,8/31/2012,0,5.9999999999999995e-05
247,7/31/2009,0,8.669999999999999e-05
248,10/31/2016,0,5.2300000000000004e-05
249,4/30/2015,0,5.9699999999999994e-05
250,12/31/2016,0,8.72e-05
251,5/31/2009,0,8.66e-05
252,2/29/2016,0,5.28e-05
253,5/31/2016,0,6.0899999999999996e-05
254,6/30/2013,0,0.000100713
255,12/31/2017,0,8.53e-05
256,4/30/2013,0,5.17e-05
257,12/31/2014,0,8.66e-05
258,4/30/2017,0,6.4e-05
259,4/30/2016,0,6.17e-05
260,5/31/2012,0,8.32e-05
261,6/30/2016,0,8.71e-05
262,4/30/2016,0,5.8899999999999995e-05
263,1/31/2013,0,5.21e-05
264,6/30/2010,0,8.73e-05
